title,company,apply_link,company_location,company_city,company_country,job_description,job_date
"Fullstack Developer  - Al & Software Projects (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is seeking an experienced Fullstack Developer (AI Integration). Key responsibilities include building dynamic UIs (React/Vue.js), developing backend services (Python/Node.js), integrating AI models, and ensuring secure, high-performance architectures.

Roles and Responsibilities:
• ﻿﻿Design, develop, and maintain fullstack web applications with seamless frontend-backend integration to support Al-driven products.
• ﻿﻿Build dynamic, responsive Uls using React or Vue.js while collaborating with UI/UX teams for intuitive user experiences.
• ﻿﻿Develop and optimize backend services using Python or Node.js, ensuring efficient database management and secure architectures.
• ﻿﻿Integrate Al models into applications, enhancing performance, reliability, and alignment with business needs.
• ﻿﻿Develop and maintain RESTful APls and microservices with a focus on security, modularity, and high performance.
• ﻿﻿Ensure code quality through unit testing, CI/CD pipelines, rigorous code reviews, and performance optimization techniques.
• ﻿﻿Monitor production systems, troubleshoot issues, and implement fixes while continuously improving codebases.
• ﻿﻿Stay updated on fullstack development, Al advancements, and emerging technologies to drive innovation and efficiency.

Requirements:
• ﻿﻿5+ years of fullstack development experience with Al integration, delivering end-to-end web applications.
• ﻿﻿Expertise in React, Vue.js, Python, Node.js, PHP, SQL, and NoSQL databases, ensuring seamless frontend-backend development.
• ﻿﻿Skilled in Al model integration, leveraging frameworks, libraries, and Al tools like ChatGPT and GitHub Copilot.
• ﻿﻿Strong knowledge of RESTful APls, microservices, cloud platforms (AWS, Azure, GCP), and containerization with Docker and Kubernetes.
• ﻿﻿Proven ability to optimize performance, scalability, and reliability while excelling in remote collaboration and agile workflows.","March 11, 2025"
"Al Workflow/Automation/Solutions Engineer (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is seeking an Al Workflow/Automation/Solutions Engineer to design, build, and optimize AI-driven automated workflowsusing platforms like n8n, Latenode, and Zapier.

Roles and Responsibilities:
• ﻿﻿Design and build automated workflows integrating Al-driven solutions to optimize business processes and handle operational tasks.
• ﻿﻿Use platforms like n8n, Latenode, or Zapier to create scalable automation solutions and integrate applications and APIs for seamless data flow.
• ﻿﻿Collaborate with teams to identify automation opportunities and convert business objectives into technical Al and automation solutions.
• ﻿﻿Monitor automated workflows for performance, diagnose issues, and resolve them quickly to ensure system stability.
• ﻿﻿Refine automation pipelines for efficiency and scalability, and maintain detailed technical documentation and workflow diagrams.
• ﻿﻿Stay updated on Al and automation trends, propose innovative solutions, and work with stakeholders to meet project goals across teams.

Requirements:
• ﻿﻿At least 5 years in workflow automation and Al solutions engineering, with familiarity in agentic Al methodologies a plus.
• ﻿﻿Strong in scripting languages (e.g., Python, JavaScript), AP| integrations, and data processing. Experience with Al tools for task management.
• ﻿﻿Proficient in workflow automation platforms like Zapier, Latenode, or n8n, and Al-based tools like ChatGPT and GitHub Copilot.
• ﻿﻿Excellent at assessing business processes, troubleshooting, and implementing long-term solutions.
• ﻿﻿Strong communication skills, effective collaboration with remote teams, and ability to adapt to evolving Al and automation technologies.
• ﻿﻿Comfortable with performance-based compensation, meeting deadlines, and working independently in a remote environment.","March 11, 2025"
"Business Development Executive (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is seeking a Business Development Executive to explore new market opportunities, build strategic partnerships, and drive growth in key regions like Singapore, Hong Kong, New York, and Dubai.

Roles and Responsibilities:
• ﻿﻿Research new business opportunities and develop strategies for key markets like Singapore, Hong Kong, New York, and Dubai.
• ﻿﻿Analyze trends, competitors, and customer needs to guide decision-making on Al and technology solutions.
• ﻿﻿Nurture relationships with vendors and referral partners, ensuring a consistent lead flow and meeting sales targets.
• ﻿﻿Assist in creating proposals and coordinating with cross-functional teams to align with client needs.
• ﻿﻿Support negotiations and structuring deals with vendors, setting clear milestones and performance metrics.
• ﻿﻿Represent the company at events and provide insights to adjust strategies based on business performance.
Requirements:
• ﻿﻿At least 4 years in business development within the technology or software sector, with knowledge of Al solutions preferred.
• ﻿﻿Experience developing strategies for international markets like Singapore, Hong Kong, New York, and Dubai, with an understanding of regional cultural and regulatory nuances.
• ﻿﻿Exceptional verbal and written skills, able to explain complex Al concepts clearly. Proven ability to build and maintain relationships with partners and clients.
• ﻿﻿Skilled in market research and data analytics, leveraging Al tools for operational support and business strategies.
• ﻿﻿Highly self-driven and adaptable in fast-paced, remote environments, meeting business targets and deadlines.
• ﻿﻿Track record of meeting ambitious sales and partnership goals, comfortable working within a performance-based compensation model.","March 11, 2025"
"Customer Support Officer - Odoo & Al Projects (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is looking for a Customer Support Officer to provide prompt assistance for Odoo ERP and AI products, troubleshoot issues, and ensure customer satisfaction.

Roles and Responsibilities:
• ﻿﻿Provide prompt support for Odoo ERP and Al products, diagnosing and resolving issues to minimize customer downtime.
• ﻿﻿Respond to technical inquiries and identify root causes of issues, delivering accurate and timely solutions.
• ﻿﻿Log and track customer issues with detailed notes, maintaining an organized ticketing or CRM system for resolution.
• ﻿﻿Update and manage support resources like FAQs, guides, and best practices, staying current on product changes.
• ﻿﻿Develop clear help materials such as manuals, tutorials, and videos, collaborating with teams to keep them updated.
• ﻿﻿Escalate complex issues to technical teams and ensure follow-through for timely resolution.
• ﻿﻿Build strong customer relationships, ensuring high satisfaction and offering guidance on best practices for using Odoo and Al solutions.

Requirements:
• ﻿﻿At least 4 years in customer or technical support within software industry, with experience in ERP systems (Odoo preferred) and Al technologies.
• ﻿﻿Basic understanding of ERP and Al solutions, with the ability to troubleshoot common issues and adapt to new software.
• ﻿﻿Strong verbal and written communication, able to convey technical info clearly to non-technical users, with professional phone and email etiquette.
• ﻿﻿Strong analytical skills to diagnose and resolve customer issues, remaining calm under pressure.
• ﻿﻿Proactive, empathetic, and committed to exceeding customer expectations for response time and solution quality.
• ﻿﻿Self-motivated and organized, able to work independently, manage time effectively, and meet deadlines with minimal supervision.","March 11, 2025"
"DevOps Engineer (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is seeking a DevOps Engineer to manage cloud infrastructure, automate CI/CD pipelines, containerize applications, and optimize system performance for scalable and secure deployments.

Roles and Responsibilities:
• ﻿﻿Oversee DevOps tasks, coordinate with teams for releases, and manage infrastructure across cloud platforms (AWS, Azure, GCP) and on-prem.
• ﻿﻿Design and maintain CI/CD pipelines, automating code testing and delivery while collaborating with development teams.
• ﻿﻿Use laC tools (Terraform, Ansible) for standardized deployments, ensuring version control and change management best practices.
• ﻿﻿Containerize applications with Docker, manage orchestration with Kubernetes, and optimize microservices for scale and reliability.
• ﻿﻿Set up monitoring solutions (e.g., Prometheus, Grafana), develop incident response protocols, and resolve production issues swiftly.
• ﻿﻿Optimize system performance through caching and load balancing, while integrating security practices throughout the DevOps lifecycle and maintaining compliance.

Requirements:
• ﻿﻿At least 5 years in DevOps or similar roles, managing infrastructure, CI/CD pipelines, production environments and able to handle multiple projects.
• ﻿﻿Proficient in cloud platforms (AWS, Azure, GCP), containerization (Docker, Kubernetes), laC tools (Terraform, Ansible), scripting (Bash, Python), and monitoring/logging tools (Prometheus, Grafana, ELK).
• ﻿﻿Strong understanding of DevSecOps principles, secrets management, and vulnerability scanning.
• ﻿﻿Excellent interpersonal skills for remote collaboration and presenting technical concepts to various stakeholders.
• ﻿﻿Skilled in diagnosing issues, creating solutions, and adapting to new technologies and evolving needs.
• ﻿﻿Self-motivated, organized, and capable of working independently in a remote environment, meeting deadlines, and delivering high-quality work.","March 11, 2025"
"QA Engineer - Odoo & Al Projects (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is looking for a QA Engineer to design test plans, execute automated and manual testing, identify defects, and ensure the quality of Odoo ERP and AI-driven solutions. 

Roles and Responsibilities:
• ﻿﻿Design comprehensive test plans for Odoo ERP and Al-driven solutions, collaborating with project teams to align on objectives.
• ﻿﻿Create and execute automated test scripts, while performing manual tests and exploratory testing to identify edge cases and vulnerabilities.
• ﻿﻿Collaborate with developers to identify, document, and track defects, providing clear feedback for resolution.
• ﻿﻿Conduct regression tests to ensure stability and performance tests for scalability.
• ﻿﻿Implement QA best practices, ensuring high-quality standards and continuously optimizing testing processes.
• ﻿﻿Maintain detailed test documentation and collaborate with cross-functional teams to improve testing processes and overall product quality.

Requirements:
• ﻿﻿At least 5 years in QA or software testing with ERP (Odoo) and Al-driven solutions, with experience in both manual and automated testing.
• ﻿﻿Strong knowledge of QA methodologies, testing tools (e.g., Selenium, Robot Framework), and automated testing pipelines. Familiar with Al tools for task management.
• ﻿﻿Proficient in Python or JavaScript for test automation scripts. Experienced with version control (e.g., Git) and CI/CD pipelines.
• ﻿﻿Strong attention to detail and problem-solving skills, with the ability to identify and resolve complex defects.
• ﻿﻿Excellent communication skills for remote teamwork, with the ability to explain technical details to non-technical stakeholders.
• ﻿﻿Quick to learn new technologies, adaptable to evolving project needs, and experienced in remote work environments with a focus on meeting deadlines and producing high-quality work independently.","March 11, 2025"
"Salesperson (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is seeking a Sales person to identify and generate leads, conduct product demos, negotiate deals, and build long-term client relationships for Odoo ERP and AI solutions. 

Roles and Responsibilities:
• ﻿﻿Identify, qualify, and generate leads through digital marketing, networking, referrals, and events to meet sales targets.
• ﻿﻿Conduct engaging demos showcasing Odoo ERP and Al solutions, collaborating with technical teams for accurate presentations.
• ﻿﻿Develop and implement sales strategies for targeted markets, aligning with marketing and product teams.
• ﻿﻿Negotiate contracts and pricing, managing the sales process from initial contact to signed agreement.
• ﻿﻿Build long-term client relationships, identifying upsell and cross-sell opportunities.
• ﻿﻿Monitor industry trends and competitors, providing feedback for product enhancements. Prepare sales forecasts and pipeline analyses.
• ﻿﻿Manage relationships with referral partners, ensuring a steady flow of high-quality leads and tracking performance metrics.

Requirements:
• ﻿﻿At least 4 years in technology sales, ERP, or Al solutions with a track record of meeting or exceeding quotas.
• ﻿﻿Excellent verbal and written communication, able to present complex solutions clearly to both technical and non-technical stakeholders.
• ﻿﻿Demonstrated success in negotiation, deal structuring, and overcoming objections, with the ability to drive sales from prospect to close.
• ﻿﻿Skilled in building trust-based relationships, focusing on long-term value and understanding client needs.
• ﻿﻿Familiarity with Odoo ERP and Al technologies. Proficient in CRM platforms (e.g., Linkedin Sales Navigator, HubSpot) and Al tools of task management.","March 11, 2025"
"Team Leader - Odoo & Al Projects (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is seeking an Odoo Development Lead to manage the Odoo development team, oversee project execution, and ensure high-quality, scalable ERP solutions. Responsibilities include technical guidance, agile sprint management, performance optimization, mentoring junior developers, and client collaboration to deliver seamless Odoo implementations.

Roles and Responsibilities:
• ﻿﻿Oversee and manage the Odoo development team, ensuring timely execution of projects aligned with business objectives.
• ﻿﻿Provide technical guidance on Odoo best practices, architecture, coding standards, and conduct code reviews for efficiency and compliance.
• ﻿﻿Organize and manage agile development sprints, setting priorities, assigning tasks, and tracking progress.
• ﻿﻿Configure, customize, and optimize Odoo ERP modules for enhanced performance, scalability, and seamless integrations with third-party applications, including Al models.
• ﻿﻿Mentor junior developers, fostering a culture of technical excellence, collaboration, and continuous improvement.
• ﻿﻿Collaborate with clients to gather requirements, translate them into functional Odoo solutions, and manage expectations.
• ﻿﻿Identify, debug, and resolve Odoo-related issues to ensure system stability, security, and optimal performance.
• ﻿﻿Stay updated on Odoo advancements, industry trends, and emerging technologies to drive innovation and maintain a competitive edge.

Requirements:
• ﻿﻿Minimum 5 years of Odoo ERP development, project management, and team leadership experience.
• ﻿﻿Strong expertise in Odoo framework, Python, PostgreSQL, JavaScript,
OWL, module customization, and API integration.
• ﻿﻿Proficient in agile project management, sprint planning, version control, and on-time delivery.
• ﻿﻿Skilled in diagnosing issues, optimizing performance, risk mitigation, and leveraging Al tools like ChatGPT and GitHub Copilot.
• ﻿﻿Strong communication skills for cross-functional collaboration, client engagement, and remote teamwork across time zones.","March 11, 2025"
"Project Manager - Odoo & Al Projects (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is looking for a Project Manager to lead Odoo and AI projects, overseeing planning, execution, and team coordination. Responsibilities include managing project timelines, resolving blockers, ensuring quality assurance, and collaborating with stakeholders for successful delivery.

Roles and Responsibilities:
• ﻿﻿Develop and manage comprehensive project plans for Odoo and Al projects, defining scope, milestones, and success metrics.
• ﻿﻿Oversee execution across cross-functional teams, ensuring alignment with goals, resolving blockers, and leveraging Al tools for scheduling and operations.
• ﻿﻿Collaborate with stakeholders and clients to define requirements, adjust plans, and facilitate regular progress reviews and demonstrations.
• ﻿﻿Manage project timelines and resources effectively, identifying bottlenecks and implementing corrective actions for on-time delivery.
• ﻿﻿Implement quality assurance processes, working with QA teams to integrate testing and validation throughout the project lifecycle.
• ﻿﻿Identify, document, and mitigate project risks, ensuring timely resolution or escalation of critical issues.
• ﻿﻿Maintain transparent communication, document key project details, and provide regular reports on progress, challenges, and next steps.

Requirements:
• ﻿﻿At least 5 years of project management experience in technology or software development, delivering projects on time, within scope, and budget.
• ﻿﻿Strong leadership in coordinating cross-functional teams across ERP and Al domains, fostering collaboration, and resolving conflicts.
• ﻿﻿Excellent communication skills to engage technical teams, business stakeholders, and clients, presenting insights effectively.
• ﻿﻿Proficiency in agile methodologies, project management tools (Jira, Trello, MS Project), and balancing multiple projects in remote settings.
• ﻿﻿Technical understanding of software development, Odoo ERP, Al concepts, and adaptability to integrate new technologies into workflows.","March 11, 2025"
"Odoo Developer (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is seeking an experienced Odoo ERP Developer to design, develop, and optimize custom Odoo modules with seamless AI and third-party API integration. Key responsibilities include troubleshooting, performance optimization, system upgrades, and collaboration with stakeholders to align technical solutions with business needs.

Roles and Responsibilities:
• ﻿﻿Design, develop, and customize Odoo ERP modules based on business requirements while ensuring seamless implementation and integration with third-party APls, including Al models.
• ﻿﻿Optimize and maintain existing Odoo deployments for performance, scalability, and reliability through regular audits and improvements.
• ﻿﻿Identify, debug, and resolve Odoo-related issues, minimizing system downtime and providing timely technical support.
• ﻿﻿Collaborate with project managers, business analysts, and stakeholders to align technical solutions with business goals and refine customizations.
• ﻿﻿Conduct comprehensive testing, debugging, and quality assurance to ensure robust, error-free modules while adhering to coding standards.
• ﻿﻿Document code, customizations, integrations, and system configurations for future reference and training purposes.
• ﻿﻿Manage system upgrades, patches, and version control to ensure smooth feature transitions and maintain system consistency.
• ﻿﻿Stay updated on Odoo advancements, industry trends, and emerging API solutions to drive continuous learning and innovation.

Requirements:
• ﻿﻿4+ years of Odoo ERP development with a portfolio of successful projects, custom modules, and Al-driven integrations.
• ﻿﻿Expertise in Python, PostgreSQL, JavaScript, OWL framework, Odoo architecture, APls, and Al model integration.
• ﻿﻿Strong problem-solving skills to diagnose issues, implement business logic, and optimize system performance.
• ﻿﻿Remote collaboration experience with global teams using Slack, Trello, and Jira while engaging stakeholders.
• ﻿﻿Adaptable to markets in Singapore, Hong Kong, New York, and Dubai, adjusting to evolving business needs with minimal supervision.","March 11, 2025"
"Business Analyst (Remote, Indonesia)",BatamOn.asia,http://bit.ly/ApplyGlobalJobNow,"Batam, Indonesia",Batam,Indonesia,"BatamOn.asia is looking for a Business Analyst with 4+ years of experience in software development to collaborate on Odoo & AI projects, facilitate communication between technical teams and stakeholders, and optimize business processes. Must have strong analytical and communication skills, along with proficiency in ERP systems, AI technologies, and agile methodologies.

Roles and Responsibilities:
• ﻿﻿Collaborate with stakeholders to gather, define, and prioritize detailed business requirements for Odoo and Al projects.
• ﻿﻿Document requirements through BRDs, user stories, and development tasks, ensuring accuracy and traceability throughout the project lifecycle.
• ﻿﻿Analyze business processes, identify automation opportunities, and recommend optimizations aligned with organizational goals.
• ﻿﻿Act as a liaison between technical teams and business stakeholders, ensuring clear communication and alignment on project objectives.
• ﻿﻿Translate business needs into functional and technical specifications, validating compatibility with Odoo and Al capabilities.
• ﻿﻿Develop user manuals, training guides, and FAQs while collaborating with QA teams to ensure documentation reflects system updates.
• ﻿﻿Support validation, user acceptance testing (UAT), and change management by updating documentation and assisting stakeholders in adapting to new processes.

Requirements:
• ﻿﻿At least 4 years of experience as a Business Analyst in software development, with expertise in writing clear, actionable requirements and managing project documentation.
• ﻿﻿Strong analytical skills in process mapping, data interpretation, and system interactions, with knowledge of ERP systems (Odoo) and Al technologies.
• ﻿﻿Excellent communication skills for articulating requirements to technical and non-technical stakeholders, facilitating remote meetings, and collaborating across global teams.
• ﻿﻿Proficiency in agile methodologies, documentation, and project management tools (JIRA, Confluence), with the ability to manage multiple tasks in a remote work environment.","March 11, 2025"
APAC Marketing Lead,Muzz,https://muzz.com/en-US/careers/apac-gowth-lead/,"London, United Kingdom",London,Canada,"Muzz is seeking a proactive and experienced Marketing Leader to drive growth in the APAC region, focusing on India, Malaysia, and Indonesia. The role involves leading marketing strategies, managing budgets, and fostering cross-regional collaboration. Fluency in English and one regional language is required.","March 9, 2025"
Full Stack WordPress Developer,tripleNERDscore,https://www.linkedin.com/jobs/view/4181102712,"Philadelphia, Pennsylvania, United States",Philadelphia,United States,"Seeking a Full Stack WordPress Developer proficient in Laravel, Vue, WordPress, and ExpressionEngine. The role is fully remote with a salary range of $80k-$105k.","March 10, 2025"
AI Engineer,Pandai,https://x.com/isninkhamiss/status/1898914243615003030,MY,N/A,Malaysia,"Pandai is looking for an AI/LLM Developer to join their technology team. The position is remote and can be full-time or part-time. Responsibilities include developing LLM models, using AI frameworks like TensorFlow and PyTorch, and working with NLP and AI Agents. Applicants should have experience with GitHub, Python, and AI frameworks.","March 10, 2025"
